design_name,module_interface,ref_solution,prompt
arithmetic_core_2d_fht/fht_bfly,"module fht_bfly module fht_bfly(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((a >= 30) && (a <= 37) ##1 (b >= 209) && (b <= 211) ##3 1) |-> (b >= 0) && (b <= 77),"that when signal 'a' is within the range [30, 37] on the current clock cycle and signal 'b' is within the range [209, 211] three clock cycles later, it implies that on the following clock cycle, 'b' will be within the range [0, 77]."
arithmetic_core_2d_fht/fht_bfly,"module fht_bfly module fht_bfly(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((b >= 60) && (b <= 76)) |-> (b >= 60) && (b <= 120),"that when the value of signal 'b' is within the range 60 to 76 inclusive, it implies that on the following clock cycles, 'b' will continue to have a value greater than or equal to 60 and less than or equal to 120. Use the signals 'clk' and 'b'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((b >= 124) && (b <= 255) ##2 (b >= 100) && (b <= 154) ##1 (d >= 263) && (d <= 369)) |-> (b >= 0) && (b <= 124),"that after two clock cycles when signal 'b' is between 124 and 255, followed by one clock cycle where 'b' is between 100 and 154, it must result in signal 'd' being between 263 and 369 at the next clock edge; this sequence ensures that signal 'b' remains between 0 and 124. Use the signals 'clk', 'b', and 'd'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((c >= 215) && (c <= 326) ##1 (c == 475) ##2 1) |-> (b >= 46) && (b <= 97),"that when the signal 'c' is within the range of 215 to 326 on a clock edge, followed by 'c' being exactly 475 two clocks later, the signal 'b' must be within the range of 46 to 97 on the next clock edge after the first condition is met. Use the signals 'clk', 'c', and 'b'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((c >= 232) && (c <= 331) ##2 (d == 511)) |-> (b >= 98) && (b <= 153),"that if the value of signal 'c' is between 232 and 331 (inclusive) at a certain clock edge, then two clock cycles later, the value of signal 'd' must be exactly 511, and this sequence of events should imply that the value of signal 'b' falls within the range of 98 to 153 (inclusive) at the clock edge where 'c' is within the specified range."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((a >= 187) && (a <= 255) ##3 (c >= 156) && (c <= 339) && (b >= 151) && (b <= 200)) |-> (a >= 85) && (a <= 171),"that when signal 'a' is between 187 and 255 inclusive, after exactly 3 clock cycles, both signals 'c' and 'b' are within the ranges of 156 to 339 and 151 to 200 respectively, it implies that on the next clock cycle, 'a' will be between 85 and 171 inclusive. Use the signals 'a', 'b', 'c', and 'clk'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((b >= 0) && (b <= 65) ##4 (c >= 156) && (c <= 339) && (b >= 151) && (b <= 200)) |-> (a >= 85) && (a <= 171),"that if signal 'b' is within the range 0 to 65 at the current clock cycle, then four clock cycles later, 'c' must be within the range 156 to 339, and 'b' must be within the range 151 to 200, which in turn implies that 'a' must be within the range 85 to 171 at that same cycle. Use the signals 'a', 'b', 'c', 'clk', and 'rstn'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((d >= 0) && (d <= 96) ##2 (c >= 470) && (c <= 511) ##2 (d >= 281) && (d <= 329)) |-> (b >= 51) && (b <= 106),"that, after two clock cycles from when signal 'd' is between 0 and 96 inclusive, signal 'c' is between 470 and 511 inclusive after another two clock cycles, and then 'd' is between 281 and 329 inclusive after a further two clock cycles, it must be the case that signal 'b' is between 51 and 106 inclusive. Use the signals 'clk', 'd', 'c', and 'b'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((c >= 232) && (c <= 337) && (d == 36) ##3 1) |-> (a >= 187) && (a <= 255),"that when signal 'c' is within the range of 232 to 337 inclusive, and signal 'd' is equal to 36, then after exactly 3 clock cycles, signal 'a' must be within the range of 187 to 255 inclusive. Use the signals 'a', 'c', 'd', and the posedge of 'clk'."
arithmetic_core_2d_fht/fht_bfly_noFF,"module fht_bfly_noFF module fht_bfly_noFF(
	rstn,
	clk,
	valid,
	a,
	b,
	c,
	d
);",@(posedge clk) ((c >= 232) && (c <= 337) ##3 (b >= 126) && (b <= 131)) |-> (a >= 187) && (a <= 255),"that if signal 'c' is within the range 232 to 337, then after exactly 3 clock cycles, signal 'b' must also be within the range 126 to 131; and if this condition holds, then signal 'a' must be within the range 187 to 255 in the cycle immediately following the assertion of the condition on signal 'b'."
arithmetic_core_2d_fht/mtx_trps_8x8_dpsram,"module mtx_trps_8x8_dpsram module mtx_trps_8x8_dpsram (
	rstn,
	sclk,
	
	// Input
	inp_valid,
	inp_data,
	
	// Output
	mem_data,
	mem_valid
);",@(posedge sclk) ((wr_DATA >= 172) && (wr_DATA <= 255) ##1 1) |-> rd_CSN,"that when `wr_DATA` is within the range 172 to 255 inclusive, on the next clock cycle, `rd_CSN` is asserted. Use the signals `wr_DATA`, `rd_CSN`, and `sclk`."
arithmetic_core_2d_fht/mtx_trps_8x8_dpsram,"module mtx_trps_8x8_dpsram module mtx_trps_8x8_dpsram (
	rstn,
	sclk,
	
	// Input
	inp_valid,
	inp_data,
	
	// Output
	mem_data,
	mem_valid
);",@(posedge sclk) (!inp_valid && (inp_data >= 14) && (inp_data <= 31)) |-> wr_CSN,"that when the input valid signal is not asserted and the input data signal is within the range of 14 to 31, inclusive, the write chip select signal wr_CSN is subsequently asserted. Use the signals 'inp_valid', 'inp_data', and 'wr_CSN'."
arithmetic_core_2d_fht/mtx_trps_8x8_dpsram,"module mtx_trps_8x8_dpsram module mtx_trps_8x8_dpsram (
	rstn,
	sclk,
	
	// Input
	inp_valid,
	inp_data,
	
	// Output
	mem_data,
	mem_valid
);",@(posedge sclk) ((wr_DATA >= 17) && (wr_DATA <= 32)) |-> rd_CSN,"that on the positive edge of the clock signal 'sclk', if the value of 'wr_DATA' is greater than or equal to 17 and less than or equal to 32, then the signal 'rd_CSN' must be asserted true."
arithmetic_core_2d_fht/mtx_trps_8x8_dpsram,"module mtx_trps_8x8_dpsram module mtx_trps_8x8_dpsram (
	rstn,
	sclk,
	
	// Input
	inp_valid,
	inp_data,
	
	// Output
	mem_data,
	mem_valid
);",@(posedge sclk) ((wr_DATA >= 0) && (wr_DATA <= 255) ##1 1) |-> rd_CSN,"that when the data being written (wr_DATA) is within the range 0 to 255, on the next clock cycle, the read chip select signal (rd_CSN) is asserted. Use the signals 'wr_DATA', 'sclk', and 'rd_CSN'."
arithmetic_core_2d_fht/mtx_trps_8x8_dpsram,"module mtx_trps_8x8_dpsram module mtx_trps_8x8_dpsram (
	rstn,
	sclk,
	
	// Input
	inp_valid,
	inp_data,
	
	// Output
	mem_data,
	mem_valid
);",@(posedge sclk) ((wr_DATA >= 0) && (wr_DATA <= 14) ##2 (wr_DATA == 11) ##2 1) |-> (inp_data >= 85) && (inp_data <= 171),"that the input data must be between 85 and 171 inclusive if two cycles after `wr_DATA` is between 0 and 14 inclusive, and another two cycles after that, `wr_DATA` equals 11. Use the signals `inp_data`, `wr_DATA`, and `sclk`."
arithmetic_core_2d_fht/signed_mult_const_asic,"module signed_mult_const_asic module signed_mult_const_asic (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 0) && (a <= 44) ##2 (a >= 221) && (a <= 226) ##2 1) |-> (a >= 85) && (a <= 171),"that if signal 'a' is between 0 and 44 inclusive at some clock cycle, and then between 221 and 226 inclusive exactly two clock cycles later, it must be between 85 and 171 inclusive one clock cycle after the second condition is met. Use the signals 'a', 'clk', and the rising edge of the clock."
arithmetic_core_2d_fht/signed_mult_const_asic,"module signed_mult_const_asic module signed_mult_const_asic (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 53) && (a <= 97) ##1 (a >= 0) && (a <= 18) ##2 (a >= 26) && (a <= 72) ##1 1) |-> (a >= 172) && (a <= 255),"that when the signal 'a' is within the range of 53 to 97, then in the next clock cycle 'a' is within the range of 0 to 18, followed by 'a' being within the range of 26 to 72, two cycles later, it implies that 'a' will be within the range of 172 to 255 in the subsequent cycle. Use the signals 'a', 'clk', and do not consider the reset condition 'rstn'."
arithmetic_core_2d_fht/signed_mult_const_asic,"module signed_mult_const_asic module signed_mult_const_asic (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 125) && (a <= 152)) |-> (a >= 103) && (a <= 152),"that when the signal 'a' is within the range of 125 to 152 inclusive, it must remain within the range of 103 to 152 inclusive in the following cycles. Use the signals 'a', 'clk', and the positive edge of 'clk' for the timing condition."
arithmetic_core_2d_fht/signed_mult_const_asic,"module signed_mult_const_asic module signed_mult_const_asic (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 128) && (a <= 190)) |-> (a >= 128) && (a <= 255),"that when the input signal 'a' is within the range of 128 to 190, it implies that 'a' will be within the range of 128 to 255 in the next clock cycle. Use the signals 'a', 'clk', and the range values 128, 190, and 255."
arithmetic_core_2d_fht/signed_mult_const_asic,"module signed_mult_const_asic module signed_mult_const_asic (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 67) && (a <= 80) ##1 (a >= 0) && (a <= 18) ##3 1) |-> (a >= 172) && (a <= 255),"that after the signal 'a' is within the range 67 to 80 on the rising edge of 'clk', it must be within the range 0 to 18 exactly one clock cycle later, and then, after three more clock cycles, the signal 'a' must be within the range 172 to 255."
arithmetic_core_2d_fht/signed_mult_const_fpga,"module signed_mult_const_fpga module signed_mult_const_fpga (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 128) && (a <= 154)) |-> (a >= 128) && (a <= 255),"that when the input signal 'a' is within the range 128 to 154, inclusive, it must also always fall within the wider range of 128 to 255, inclusive. Use the signals 'clk', 'a', and the clock event 'posedge clk'."
arithmetic_core_2d_fht/signed_mult_const_fpga,"module signed_mult_const_fpga module signed_mult_const_fpga (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 26) && (a <= 51)) |-> (a >= 0) && (a <= 51),"that when the input signal 'a' is within the range 26 to 51 inclusive, then on the next clock cycle, 'a' remains within the range 0 to 51 inclusive. Use the signals 'a' and 'clk'."
arithmetic_core_2d_fht/signed_mult_const_fpga,"module signed_mult_const_fpga module signed_mult_const_fpga (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 0) && (a <= 44) ##2 (a == 54)) |-> valid,"that the signal 'valid' is asserted if, after two clock cycles from when the signal 'a' is within the range of 0 to 44 (inclusive), the signal 'a' equals 54. Use the signals 'clk', 'valid', and 'a'."
arithmetic_core_2d_fht/signed_mult_const_fpga,"module signed_mult_const_fpga module signed_mult_const_fpga (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 17) && (a <= 32) ##3 (a == 146) ##1 1) |-> (a >= 205) && (a <= 255),"that when signal 'a' is within the range 17 to 32 inclusive, then exactly after 3 clock cycles 'a' equals 146, followed by any value after 1 clock cycle, it must imply that 'a' will be within the range 205 to 255 inclusive at that time. Use the signals 'a', 'clk', and the condition is checked at the positive edge of 'clk'."
arithmetic_core_2d_fht/signed_mult_const_fpga,"module signed_mult_const_fpga module signed_mult_const_fpga (
	rstn,
	clk,
	valid,
	a,
	p
);",@(posedge clk) ((a >= 59) && (a <= 91)) |-> (a >= 0) && (a <= 127),"that when signal 'a' is between 59 and 91 inclusive, it implies that 'a' is also within the range of 0 to 127. Use the signals 'clk' and 'a'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((accMuxOut >= 70) && (accMuxOut <= 92) && (uartDataIn == 87) ##4 1) |-> (tcAccIn >= 157) && (tcAccIn <= 207),"that the value of 'tcAccIn' lies between 157 and 207 inclusive whenever 'accMuxOut' lies within the range 70 to 92 inclusive and 'uartDataIn' equals 87, four clock cycles after the observed condition. Use the signals 'DEFAULT_CLOCK', 'accMuxOut', 'uartDataIn', and 'tcAccIn'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((uartDataIn >= 0) && (uartDataIn <= 130) ##2 (accMuxOut >= 113) && (accMuxOut <= 159) ##1 (accMuxOut >= 66) && (accMuxOut <= 90)) |-> (tcAccIn >= 38) && (tcAccIn <= 76),"that after 'uartDataIn' is within the range [0, 130] for two clock cycles, 'accMuxOut' must be within the range [113, 159] for one clock cycle, followed by 'accMuxOut' being within the range [66, 90] for the next clock cycle. If this condition holds, then 'tcAccIn' must be within the range [38, 76]. Use the signals 'uartDataIn', 'accMuxOut', and 'tcAccIn'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((accMuxOut >= 115) && (accMuxOut <= 130) && (tcLoadIn == 133) ##4 1) |-> (immData >= 187) && (immData <= 255),"that when the accumulator multiplexer output 'accMuxOut' is between 115 and 130 inclusive, and the signal 'tcLoadIn' is equal to 133 within the same clock cycle, then after 4 clock cycles, the immediate data 'immData' will be between 187 and 255 inclusive."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((accMuxOut >= 186) && (accMuxOut <= 218) ##3 (uartStatIn >= 139) && (uartStatIn <= 251) ##1 (tcLoadIn == 199)) |-> (uartStatIn >= 0) && (uartStatIn <= 79),"that after the accumulator multiplexer output 'accMuxOut' is within the range 186 to 218, within the next three clock cycles the UART status input 'uartStatIn' falls within the range 139 to 251, and then after one more clock cycle the timer and counter load input 'tcLoadIn' equals 199, it must follow that 'uartStatIn' will be within the range 0 to 79 on the subsequent clock cycle."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((tcLoadIn >= 166) && (tcLoadIn <= 179)) |-> (tcLoadIn >= 166) && (tcLoadIn <= 255),"that after tcLoadIn is within the range 166 to 179 (inclusive) at the rising edge of DEFAULT_CLOCK, tcLoadIn must be within the range 166 to 255 (inclusive) in the following clock cycles. Use the signal 'tcLoadIn'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((accMuxOut >= 101) && (accMuxOut <= 131) ##1 (tcLoadIn >= 96) && (tcLoadIn <= 101) ##1 1) |-> (uartStatIn >= 0) && (uartStatIn <= 123),"that when the output of the accumulator multiplexer (accMuxOut) is within the range 101 to 131, followed by the timer and counter load input (tcLoadIn) being within the range 96 to 101 after one clock cycle, then in the next clock cycle, the UART status input (uartStatIn) must be within the range 0 to 123. Use the signal 'DEFAULT_CLOCK' for clocking."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((accMuxOut >= 33) && (accMuxOut <= 47)) |-> (accMuxOut >= 23) && (accMuxOut <= 70),"that if the output of the accumulator multiplexer 'accMuxOut' is within the range of 33 to 47 inclusive, then in the next clock cycle, 'accMuxOut' will be within the range of 23 to 70 inclusive. Use the signal 'accMuxOut' and the clock 'DEFAULT_CLOCK'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((uartDataIn >= 179) && (uartDataIn <= 217) ##4 (immData == 197)) |-> (uartDataIn >= 67) && (uartDataIn <= 131),"that when the 'uartDataIn' signal is within the range of 179 to 217, after exactly 4 clock cycles, if the 'immData' signal is equal to 197, it implies that 'uartDataIn' must then be within the range of 67 to 131. Use the signals 'uartDataIn', 'immData', and 'DEFAULT_CLOCK'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((accMuxOut >= 225) && (accMuxOut <= 252) && (tcLoadIn >= 36) && (tcLoadIn <= 41) ##3 1) |-> (uartDataIn >= 193) && (uartDataIn <= 255),"that when the 'accMuxOut' signal is within the range of 225 to 252 inclusive, and the 'tcLoadIn' signal is within the range of 36 to 41 inclusive, then after exactly 3 clock cycles, the 'uartDataIn' signal must be within the range of 193 to 255 inclusive. Use the signals 'accMuxOut', 'tcLoadIn', and 'uartDataIn'."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((aluOut >= 147) && (aluOut <= 201) ##4 (accMuxOut >= 212) && (accMuxOut <= 216)) |-> (tcAccIn >= 0) && (tcAccIn <= 37),"that the value of `tcAccIn` is within the range 0 to 37 inclusive whenever, 4 clock cycles after `aluOut` is within the range 147 to 201 inclusive, the value of `accMuxOut` is within the range 212 to 216 inclusive. Use the signals `DEFAULT_CLOCK`, `aluOut`, `accMuxOut`, and `tcAccIn`."
arithmetic_core_8-bit_piepelined_processor/accumulatorMUX,"module accumulatorMUX (
    accMuxSel, immData, aluOut
    `ifdef timerAndCounter_peripheral
    , tcLoadIn, tcAccIn
    `endif
    `ifdef UART_peripheral
    , uartDataIn, uartStatIn
    `endif
    , accMuxOut
);",@(posedge DEFAULT_CLOCK) ((aluOut >= 106) && (aluOut <= 155) ##3 (uartStatIn == 78) ##1 1) |-> (aluOut >= 139) && (aluOut <= 195),"that when the 'aluOut' signal is between 106 and 155, inclusive, and after exactly 3 clock cycles the 'uartStatIn' signal equals 78, and after an additional 1 clock cycle, the 'aluOut' signal will be between 139 and 195, inclusive. Use the signals 'aluOut', 'uartStatIn', and the default clock signal 'DEFAULT_CLOCK'."
